image_path,label,split,group,label_name,source_split,outer_fold,evaluation_policy
wire/normal/01-o__2_IMG_0210__wire_001__slice_01.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_001__slice_02.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_001__slice_03.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_001__slice_04.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_001__slice_05.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_001__slice_06.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_001__slice_07.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_001__slice_08.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_001__slice_09.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_001__slice_10.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_001__slice_11.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_001__slice_12.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_001__slice_13.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_002__slice_01.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_002__slice_02.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_002__slice_03.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_002__slice_04.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_002__slice_05.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_002__slice_06.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_002__slice_07.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_002__slice_08.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_002__slice_09.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_002__slice_10.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_002__slice_11.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_002__slice_12.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_002__slice_13.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_002__slice_14.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_002__slice_16.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_003__slice_01.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_003__slice_02.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_003__slice_03.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_003__slice_04.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_003__slice_05.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_003__slice_06.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_003__slice_07.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_003__slice_08.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_003__slice_09.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_003__slice_10.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_003__slice_11.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_003__slice_12.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_003__slice_13.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_003__slice_14.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_003__slice_15.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_003__slice_16.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_004__slice_01.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_004__slice_02.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_004__slice_03.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_004__slice_04.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_004__slice_05.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_004__slice_06.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_004__slice_07.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_004__slice_08.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_004__slice_09.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_004__slice_10.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_004__slice_11.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_004__slice_12.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_004__slice_13.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_004__slice_14.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_004__slice_15.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_004__slice_16.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_005__slice_01.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_005__slice_02.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_005__slice_03.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_005__slice_07.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_005__slice_11.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_005__slice_12.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0210__wire_005__slice_13.png,0,train,01-o__2_IMG_0210,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_001__slice_01.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_001__slice_02.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_001__slice_03.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_001__slice_04.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_001__slice_05.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_001__slice_06.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_001__slice_08.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_001__slice_09.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_001__slice_10.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_001__slice_11.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_001__slice_12.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_001__slice_13.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_001__slice_14.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_002__slice_03.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_002__slice_04.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_002__slice_05.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_002__slice_06.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_002__slice_07.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_003__slice_01.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_003__slice_02.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_003__slice_03.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_003__slice_04.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_003__slice_05.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_003__slice_06.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_003__slice_07.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_003__slice_10.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_003__slice_11.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_003__slice_12.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_003__slice_13.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_004__slice_01.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_004__slice_04.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_004__slice_05.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_004__slice_06.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_004__slice_07.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_004__slice_08.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_004__slice_09.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_004__slice_10.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_004__slice_11.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_004__slice_12.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_004__slice_13.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
wire/normal/01-o__2_IMG_0752__wire_004__slice_14.png,0,train,01-o__2_IMG_0752,normal,train,1,fit
